ABA_Axi_Z,ABA_Axi_LPF,ABA_Z,ABA_LPF,ABA_ncr,ABA_Z_2,ABA_ncr_2,Yamami_S1_?,Yamami_S1_LPF,Yamami_S3_Z,Yamami_S3_LPF,Yamaki_S1_?_S,Yamaki_S1_ncr_S,Yamaki_S1_?_L,Yamaki_S1_LPF_L,Yamaki_S3_?_1,Yamaki_S3_LPF_1,Yamaki_S3_?_2,Yamaki_S3_LPF_2
1,1.671300000,15,1.026169300,26,1000,24,962890.8129,0.851054,1.00000,1.602245,14.9936,0.00000000,10380639.61,2,309770.1649,3,1131542.788,2
1.5,1.215100000,20,0.886401296,27,2000,22,1930710.2500,0.851318,1.05204,1.528477,14.9936,23.16021769,10696170.25,2,607729.3849,3,13142075.04,1
2,1.038900000,30,0.805295348,27,5000,25,4238945.6770,0.851616,1.12026,1.454708,15.0621,24.64978897,52517559.61,2,,,13192150.41,1
3,0.963231802,40,0.809608161,27,10000,24,10190779.2900,0.853114,1.18202,1.398503,15.2942,26.43572228,53709843.69,1,,,99624353.44,1
4,1.007586598,50,0.850119174,26,20000,23,10991214.0900,0.818779,1.23632,1.344640,18.3153,27.21787656,99618364.81,1,,,,
5,1.098391414,60,0.865231156,27,50000,24,11676572.4100,0.804234,1.31574,1.291949,22.0140,27.82928492,,,,,,
6,1.200689554,70,0.839499772,28,100000,25,12593981.4400,0.791447,1.38819,1.238086,25.7720,28.16818970,,,,,,
7,1.119672775,80,0.828714550,27,,,14000318.8900,0.768186,1.51645,1.183052,30.6260,28.23372853,,,,,,
8,1.062064648,90,0.828034222,29,,,15801420.0100,0.756581,1.64198,1.133873,35.5780,27.89051199,,,,,,
9,1.026784182,100,0.831040621,27,,,20434016.1600,0.745028,1.84080,1.084694,40.5640,27.54729545,,,,,,
10,1.007278919,200,0.839344561,25,,,22715709.2100,0.720603,2.02710,1.051908,45.9000,27.06782712,,,,,,
15,1.035959244,300,0.839378774,26,,,26827220.2500,0.693870,2.25140,1.026147,54.1220,26.34891207,,,,,,
20,1.018716335,400,0.842016399,25,,,33658562.5600,0.682305,2.56620,1.005071,54.3600,28.32772502,,,,,,
30,0.993139446,500,0.841573834,26,,,39750503.0400,0.678873,2.82390,1.000387,65.0820,28.35905719,,,,,,
40,1.006914020,600,0.840397954,25,,,48387327.2100,0.656812,3.13330,1.009754,79.0950,28.32197600,,,,,,
50,1.002536535,700,0.840243101,25,,,50633186.4900,0.618383,3.44560,1.028489,98.6750,28.07994223,,,,,,
60,1.005395532,800,0.834875941,25,,,52983841.0000,0.581118,3.78840,1.054250,124.4870,27.66716253,,,,,,
70,0.989032805,900,0.837462425,25,,,57144528.3600,0.529885,4.05810,1.080010,149.0090,27.05029260,,,,,,
80,0.993922532,1000,0.835887492,24,,,62572846.0900,0.479822,4.38400,1.113967,185.8650,26.29630853,,,,,,
90,1.005227804,2000,0.810419023,22,,,69560604.0900,0.437921,4.69490,1.149095,186.6300,26.31154343,,,,,,
