Dimensionless_deflection_TengRotter,Dimensionless_load_TengRotter,Dimensionless_deflection_Bathe,Dimensionless_load_Bathe
0.111477063,1.972273567,0.067526466,1.377247521
0.213980844,3.278776676,0.152520585,2.567131575
0.444883213,5.430851958,0.263720383,3.830784742
0.602394556,6.350361284,0.38939674,4.994118636
0.794673164,7.06956814,0.468198622,5.533355739
0.998353218,7.399260628,0.552831457,6.101831625
1.126323307,7.507813813,0.64905058,6.598722904
1.545236095,8.037808772,0.882019829,7.305830953
1.804251386,8.544110234,1.015913292,7.6025878
2.051739203,9.223155772,1.318400269,7.880188204
2.425155436,11.49907579,1.452218115,8.046882877
2.545009242,12.64762225,1.719853806,8.380272223
2.65323475,13.79549656,1.859578222,8.706267854
,,2.133389346,9.661401445
,,2.37849101,11.23626281
,,2.583128886,13.21340951
,,2.720954461,15.27339943
