delta_RotterTeng,n_RotterTeng,Ncr_RotterTeng,delta_Panel,n_Panel,Ncr_Panel,delta_TengRotter2004,n_TengRotter2004,Ncr_TengRotter2004
0,29,1,0.01,25,0.836369038,0,29,0.999618806
0.25,24,0.57292,0.1,26,0.740686476,0.1,26,0.743456163
0.5,22,0.4322,0.25,24,0.576098144,0.2,25,0.623506989
1,18,0.30075,0.5,22,0.429441422,0.3,24,0.542185515
1.5,14,0.25114,0.75,20,0.351750046,0.5,22,0.432401525
2,12,0.23636,1,14,0.298787743,0.8,19,0.341931385
,,,1.25,13,0.251656711,1,18,0.304320203
,,,1.5,12,0.219509557,1.5,14,0.255527319
,,,1.75,12,0.192903668,2,12,0.236213469
,,,2,11,0.175302178,2.5,8,0.212833545
,,,,,,3,7,0.182337992
,,,,,,3.5,7,0.162007624
,,,,,,4,6,0.154891995
,,,,,,5,6,0.13252859
,,,,,,6,5,0.134561626
,,,,,,8,5,0.11321474
,,,,,,10,4,0.110165184
