VS__Z,VS__u,VS__w,VS__ezz,VS__kzz,VS__szz_bot,VS__szz_top,VS__sth_bot,VS__sth_top,S__Z,S__u,S__w,S__ezz,S__kzz,S__szz_bot,S__szz_top,S__sth_bot,S__sth_top,B__Z,B__u,B__w,B__ezz,B__kzz,B__szz_bot,B__szz_top,B__sth_bot,B__sth_top,I__Z,I__u,I__w,I__ezz,I__kzz,I__szz_Iot,I__szz_top,I__sth_Iot,I__sth_top,Q__Z,Q__u,Q__w,Q__ezz,Q__kzz,Q__szz_Qot,Q__szz_top,Q__sth_Qot,Q__sth_top
0,9.67E-15,1.37E-15,-0.000155274,4.55E-05,0.852343259,-69.10478703,0.255702978,-20.73143611,0,1.25E-14,1.15E-15,-0.000128349,6.35E-05,13.65176242,-70.06900421,4.095528727,-21.02070126,0,2.29E-10,-1.60E-12,-9.61E-05,6.52E-05,21.8438691,-64.07296801,6.553160745,-19.22189039,0,8.90E-12,9.97E-14,-9.57E-05,9.76E-05,32.58937038,-74.65884481,9.776811115,-22.39765344,0,2.72E-12,1.23E-13,-7.94E-05,2.99E-04,81.28007849,-116.1753587,24.38402355,-34.85260761
7.2,0.001124558,-0.001118114,-0.000155357,3.93E-05,-3.865267306,-64.36417199,-1.069615579,-19.21928698,7.6,0.001746008,-0.000975619,-0.000128449,5.46E-05,7.784088847,-64.16862482,2.451627177,-19.13418692,2,0.000128747,-0.000192129,-9.61E-05,6.28E-05,20.31220234,-62.5322739,6.101234063,-18.75210881,4, ,-0.000382814,-9.57E-05,9.04E-05,28.66515984,-70.71299134,8.639626222,-21.17381913,2.5,0.000919493,-0.000198451,-7.94E-05,2.84E-04,76.14653215,-111.0199716,22.88073937,-33.26921175
14.4,0.004289604,-0.002237727,-0.000155684,3.36E-05,-8.241485379,-59.96494958,-2.129277254,-17.64631651,15.2,0.006646874,-0.00195323,-0.000128865,4.63E-05,2.359125945,-58.71095794,1.150862708,-17.17016246,4,0.000508803,-0.000384263,-9.61E-05,6.05E-05,18.80849196,-61.01953651,5.67247718,-18.27593136,8,0.002970283,-0.000765904,-9.58E-05,8.35E-05,24.89062822,-66.91681886,7.623519172,-19.91871495,5,0.003613385,-0.00039705,-7.95E-05,2.69E-04,71.15003814,-106.0016409,21.48954685,-31.65595686
21.6,0.009199418,-0.003360472,-0.000156221,2.84E-05,-12.28083857,-55.90259218,-2.948298155,-16.03482424,22.8,0.014225878,-0.002935047,-0.000129549,3.87E-05,-2.62947611,-53.68965373,0.159549018,-15.15850427,6,0.001131018,-0.000576444,-9.61E-05,5.83E-05,17.33270931,-59.53472721,5.266343269,-17.79388769,12,0.006516158,-0.001149708,-9.61E-05,7.69E-05,21.26516294,-63.26971478,6.722504562,-18.63795875,7.5,0.007986744,-0.000596056,-7.97E-05,2.54E-04,66.29029645,-101.1200666,20.20655868,-30.01655024
28.8,0.015580963,-0.004487737,-0.000156935,2.35E-05,-15.99033807,-52.17008861,-3.550624414,-14.40454958,30.4,0.024044501,-0.003922936,-0.000130456,3.18E-05,-7.191508802,-49.09492073,-0.554485931,-13.12550951,8,0.001986412,-0.000768714,-9.62E-05,5.61E-05,15.88480896,-58.07780058,4.882290441,-17.30649242,16,0.01129322,-0.001534632,-9.64E-05,7.06E-05,17.78779574,-59.77071084,5.930718705,-17.33683327,10,0.013947228,-0.000795714,-8.00E-05,2.40E-04,61.56683907,-96.37478073,19.02794085,-28.35454509
36,0.023183422,-0.005620683,-0.000157795,1.91E-05,-19.37909033,-48.75833241,-3.95905333,-12.77282596,38,0.035701571,-0.004918445,-0.000131547,2.55E-05,-11.33964231,-44.91408876,-1.021787943,-11.09412188,10,0.003066173,-0.000961114,-9.62E-05,5.39E-05,14.46472936,-56.64869506,4.519781917,-16.81424541,20,0.01719989,-0.001921048,-9.68E-05,6.45E-05,14.45723086,-56.41851129,5.242426603,-16.02029604,12.5,0.021405082,-0.000996255,-8.04E-05,2.26E-04,56.97903927,-91.76515651,17.94991506,-26.67334368
43.2,0.031777585,-0.006760265,-0.000158774,1.51E-05,-22.45794041,-45.65647854,-4.19517529,-11.15473673,45.6,0.04883216,-0.005922829,-0.000132786,1.97E-05,-15.08891047,-41.13212398,-1.271195815,-9.084159868,12,0.004361659,-0.001153683,-9.63E-05,5.18E-05,13.07239343,-55.24733357,4.178286186,-16.31763191,24,0.024138863,-0.002309299,-9.73E-05,5.87E-05,11.27187204,-53.21151987,4.652028067,-14.69298951,15,0.03027312,-0.001197898,-8.09E-05,2.12E-04,52.52612053,-87.29041746,16.96876095,-24.97620045
50.4,0.041155119,-0.007907248,-0.000159847,1.14E-05,-25.23914592,-42.85226936,-4.279334296,-9.563271327,53.2,0.063106265,-0.006937082,-0.000134139,1.46E-05,-18.45624222,-37.73209746,-1.329788348,-7.112544921,14,0.005864395,-0.001346458,-9.64E-05,4.97E-05,11.70770917,-53.87362409,3.857277156,-15.81712282,28,0.032017062,-0.002699694,-9.79E-05,5.31E-05,8.229848405,-50.1478657,4.154063036,-13.35925119,17.5,0.040466714,-0.001400847,-8.15E-05,1.99E-04,48.20716532,-82.94964603,16.08081814,-23.26622526
57.6,0.05112774,-0.009062227,-0.000160991,8.19E-06,-27.73608075,-40.33233101,-4.230605014,-8.009480091,60.8,0.078227332,-0.007961958,-0.000135577,1.00E-05,-21.46003787,-34.6956089,-1.222855887,-5.193527196,16,0.007566075,-0.001539474,-9.66E-05,4.77E-05,10.3705702,-52.52746028,3.556234304,-15.31317484,32,0.040745583,-0.003092517,-9.85E-05,4.78E-05,5.329039209,-47.22542803,3.743216138,-12.02312403,20,0.051903775,-0.001605296,-8.21E-05,1.86E-04,44.02112347,-78.74179206,15.28248803,-21.54638663
64.8,0.061526322,-0.010225641,-0.000162186,5.28E-06,-29.96296719,-38.08244118,-4.066784415,-6.502626613,68.4,0.093930647,-0.008997997,-0.000137073,5.98E-06,-24.11978828,-32.00316743,-0.973893352,-3.338907097,18,0.00945856,-0.001732767,-9.67E-05,4.57E-05,9.060856412,-51.208722,3.274642803,-14.80623072,36,0.050239635,-0.003488023,-9.92E-05,4.28E-05,2.567097492,-44.44185992,3.414320539,-10.68836668,22.5,0.064504734,-0.001811424,-8.28E-05,1.74E-04,39.96682048,-74.66568105,14.57023551,-19.81951495
