R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top,,,,,,,,,,
0.0000000000,0.0000000000,500.0000000000,0.0000000000,0.0000000000,-0.0000000278,16.3348000000,0.0035148600,0.0034851500,0.0035150700,0.0034849400,1004.2600000000,995.7440000000,1004.2900000000,995.7120000000,,,,,,,,,,
2.0184300000,0.0010100000,500.0000000000,2.0184300000,0.0016666700,0.0070600000,16.3348000000,0.0035148300,0.0034851600,0.0035149100,0.0034850100,1004.2400000000,995.7500000000,1004.2500000000,995.7270000000,,,,,,,,,,
4.0368500000,0.0040600000,500.0000000000,4.0368500000,0.0033333300,0.0141000000,16.3346000000,0.0035147600,0.0034852100,0.0035147600,0.0034850800,1004.2200000000,995.7670000000,1004.2200000000,995.7460000000,,,,,,,,,,
6.0552800000,0.0091600000,500.0000000000,6.0552900000,0.0050000100,0.0212000000,16.3342000000,0.0035149100,0.0034850500,0.0035146600,0.0034849300,1004.2400000000,995.7210000000,1004.2100000000,995.7030000000,,,,,,,,,,
8.0736900000,0.0163000000,500.0000000000,8.0737100000,0.0066666800,0.0283000000,16.3338000000,0.0035149300,0.0034850300,0.0035145600,0.0034847900,1004.2400000000,995.7060000000,1004.1800000000,995.6700000000,,,,,,,,,,
10.0921000000,0.0255000000,500.0000000000,10.0921000000,0.0083333500,0.0353000000,16.3332000000,0.0035149900,0.0034849500,0.0035143800,0.0034845600,1004.2400000000,995.6740000000,1004.1500000000,995.6150000000,,,,,,,,,,
12.1105000000,0.0367000000,500.0000000000,12.1106000000,0.0100000000,0.0424000000,16.3325000000,0.0035151600,0.0034847700,0.0035142000,0.0034843300,1004.2700000000,995.6190000000,1004.1200000000,995.5510000000,,,,,,,,,,
14.1289000000,0.0499000000,500.0000000000,14.1290000000,0.0116667000,0.0494000000,16.3317000000,0.0035149000,0.0034850100,0.0035139300,0.0034840300,1004.1900000000,995.6520000000,1004.0400000000,995.5010000000,,,,,,,,,,
16.1472000000,0.0652000000,500.0000000000,16.1474000000,0.0133333000,0.0565000000,16.3307000000,0.0035146800,0.0034852100,0.0035136300,0.0034837500,1004.1200000000,995.6770000000,1003.9600000000,995.4530000000,,,,,,,,,,
18.1656000000,0.0825000000,500.0000000000,18.1659000000,0.0150000000,0.0635000000,16.3296000000,0.0035148200,0.0034850300,0.0035132500,0.0034833900,1004.1300000000,995.6150000000,1003.8900000000,995.3620000000,,,,,,,,,,
20.1839000000,0.1020000000,500.0000000000,20.1843000000,0.0166667000,0.0706000000,16.3284000000,0.0035152700,0.0034845600,0.0035128800,0.0034830100,1004.2100000000,995.4870000000,1003.8400000000,995.2490000000,,,,,,,,,,
22.2023000000,0.1230000000,500.0000000000,22.2027000000,0.0183334000,0.0777000000,16.3270000000,0.0035151500,0.0034846400,0.0035124700,0.0034825300,1004.1500000000,995.4720000000,1003.7400000000,995.1470000000,,,,,,,,,,
24.2205000000,0.1470000000,500.0000000000,24.2211000000,0.0200000000,0.0847000000,16.3255000000,0.0035148100,0.0034849500,0.0035120300,0.0034820500,1004.0500000000,995.5090000000,1003.6200000000,995.0630000000,,,,,,,,,,
26.2388000000,0.1720000000,500.0000000000,26.2396000000,0.0216667000,0.0917000000,16.3239000000,0.0035148600,0.0034848600,0.0035114900,0.0034815200,1004.0200000000,995.4540000000,1003.5100000000,994.9400000000,,,,,,,,,,
28.2570000000,0.2000000000,500.0000000000,28.2580000000,0.0233334000,0.0988000000,16.3222000000,0.0035147400,0.0034849500,0.0035109600,0.0034809800,1003.9600000000,995.4380000000,1003.3800000000,994.8280000000,,,,,,,,,,
30.2753000000,0.2290000000,500.0000000000,30.2764000000,0.0250001000,0.1060000000,16.3203000000,0.0035145600,0.0034850800,0.0035103200,0.0034803800,1003.8800000000,995.4260000000,1003.2300000000,994.7040000000,,,,,,,,,,
32.2934000000,0.2610000000,500.0000000000,32.2948000000,0.0266667000,0.1130000000,16.3183000000,0.0035145300,0.0034850700,0.0035096900,0.0034797800,1003.8300000000,995.3850000000,1003.0900000000,994.5720000000,,,,,,,,,,
34.3116000000,0.2940000000,500.0000000000,34.3133000000,0.0283334000,0.1200000000,16.3162000000,0.0035147600,0.0034847800,0.0035089900,0.0034790800,1003.8400000000,995.2760000000,1002.9500000000,994.3990000000,,,,,,,,,,
36.3297000000,0.3300000000,500.0000000000,36.3317000000,0.0300000000,0.1270000000,16.3139000000,0.0035149800,0.0034845100,0.0035083000,0.0034783800,1003.8400000000,995.1690000000,1002.8100000000,994.2260000000,,,,,,,,,,
38.3478000000,0.3680000000,500.0000000000,38.3502000000,0.0316667000,0.1340000000,16.3115000000,0.0035146500,0.0034847800,0.0035075200,0.0034775900,1003.7100000000,995.1780000000,1002.6200000000,994.0720000000,,,,,,,,,,
40.3658000000,0.4080000000,500.0000000000,40.3685000000,0.0333334000,0.1410000000,16.3090000000,0.0035144600,0.0034849100,0.0035067300,0.0034768100,1003.6200000000,995.1550000000,1002.4300000000,993.9090000000,,,,,,,,,,
42.3839000000,0.4490000000,500.0000000000,42.3870000000,0.0350001000,0.1480000000,16.3064000000,0.0035149200,0.0034843900,0.0035058700,0.0034759400,1003.6700000000,994.9830000000,1002.2700000000,993.6830000000,,,,,,,,,,
44.4017000000,0.4930000000,500.0000000000,44.4054000000,0.0366667000,0.1550000000,16.3036000000,0.0035152300,0.0034840200,0.0035050200,0.0034750600,1003.6800000000,994.8420000000,1002.1100000000,993.4640000000,,,,,,,,,,
46.4197000000,0.5390000000,499.0000000000,46.4239000000,0.0383334000,0.1620000000,16.3007000000,0.0035148900,0.0034842900,0.0035040900,0.0034740900,1003.5400000000,994.8380000000,1001.8800000000,993.2690000000,,,,,,,,,,
48.4375000000,0.5870000000,499.0000000000,48.4422000000,0.0400000000,0.1690000000,16.2976000000,0.0035144300,0.0034846800,0.0035031500,0.0034731300,1003.3800000000,994.8620000000,1001.6400000000,993.0840000000,,,,,,,,,,
50.4554000000,0.6370000000,499.0000000000,50.4607000000,0.0416668000,0.1760000000,16.2945000000,0.0035145600,0.0034844800,0.0035021100,0.0034721000,1003.3400000000,994.7490000000,1001.4200000000,992.8440000000,,,,,,,,,,
52.4731000000,0.6890000000,499.0000000000,52.4791000000,0.0433334000,0.1830000000,16.2912000000,0.0035146600,0.0034843000,0.0035010800,0.0034710600,1003.2900000000,994.6410000000,1001.2000000000,992.6040000000,,,,,,,,,,
54.4909000000,0.7430000000,499.0000000000,54.4976000000,0.0450001000,0.1900000000,16.2877000000,0.0035144700,0.0034844100,0.0034999600,0.0034699400,1003.1800000000,994.5920000000,1000.9500000000,992.3660000000,,,,,,,,,,
56.5084000000,0.7990000000,499.0000000000,56.5159000000,0.0466667000,0.1970000000,16.2842000000,0.0035144200,0.0034843800,0.0034988500,0.0034688300,1003.0900000000,994.5120000000,1000.7000000000,992.1190000000,,,,,,,,,,
58.5261000000,0.8570000000,499.0000000000,58.5345000000,0.0483334000,0.2040000000,16.2805000000,0.0035144200,0.0034842900,0.0034976500,0.0034676200,1003.0100000000,994.4130000000,1000.4300000000,991.8490000000,,,,,,,,,,
60.5435000000,0.9170000000,499.0000000000,60.5528000000,0.0500000000,0.2110000000,16.2767000000,0.0035145500,0.0034840800,0.0034964500,0.0034664200,1002.9600000000,994.2860000000,1000.1800000000,991.5700000000,,,,,,,,,,
62.5611000000,0.9790000000,499.0000000000,62.5713000000,0.0516668000,0.2180000000,16.2727000000,0.0035142900,0.0034842500,0.0034951700,0.0034651300,1002.8200000000,994.2390000000,999.8800000000,991.2990000000,,,,,,,,,,
64.5784000000,1.0436700000,499.0000000000,64.5896000000,0.0533334000,0.2250000000,16.2687000000,0.0035140400,0.0034844000,0.0034938800,0.0034638500,1002.6800000000,994.1890000000,999.5810000000,991.0270000000,,,,,,,,,,
66.5958000000,1.1099900000,499.0000000000,66.6082000000,0.0550001000,0.2320000000,16.2644000000,0.0035141300,0.0034842200,0.0034925100,0.0034624900,1002.6100000000,994.0580000000,999.2860000000,990.7150000000,,,,,,,,,,
68.6130000000,1.1783100000,499.0000000000,68.6265000000,0.0566667000,0.2390000000,16.2601000000,0.0035139400,0.0034843100,0.0034911400,0.0034611300,1002.4800000000,993.9880000000,998.9730000000,990.4220000000,,,,,,,,,,
70.6303000000,1.2487200000,499.0000000000,70.6450000000,0.0583335000,0.2450000000,16.2556000000,0.0035140800,0.0034840600,0.0034896900,0.0034596800,1002.4100000000,993.8390000000,998.6630000000,990.0880000000,,,,,,,,,,
72.6473000000,1.3211700000,499.0000000000,72.6634000000,0.0600001000,0.2520000000,16.2511000000,0.0035142000,0.0034838400,0.0034882500,0.0034582300,1002.3500000000,993.6940000000,998.3530000000,989.7540000000,,,,,,,,,,
74.6645000000,1.3956300000,499.0000000000,74.6819000000,0.0616668000,0.2590000000,16.2463000000,0.0035137400,0.0034841800,0.0034867100,0.0034567000,1002.1400000000,993.6680000000,997.9860000000,989.4410000000,,,,,,,,,,
76.6814000000,1.4721700000,499.0000000000,76.7002000000,0.0633334000,0.2660000000,16.2415000000,0.0035135800,0.0034842400,0.0034851700,0.0034551800,1002.0100000000,993.5800000000,997.6360000000,989.1100000000,,,,,,,,,,
78.6984000000,1.5507500000,498.0000000000,78.7188000000,0.0650002000,0.2730000000,16.2365000000,0.0035135600,0.0034841300,0.0034835500,0.0034535800,1001.9000000000,993.4510000000,997.2790000000,988.7500000000,,,,,,,,,,
80.7151000000,1.6313800000,498.0000000000,80.7371000000,0.0666667000,0.2800000000,16.2314000000,0.0035135500,0.0034840300,0.0034819300,0.0034519700,1001.7900000000,993.3230000000,996.9220000000,988.3910000000,,,,,,,,,,
82.7319000000,1.7140800000,498.0000000000,82.7556000000,0.0683335000,0.2870000000,16.2262000000,0.0035136400,0.0034838000,0.0034802300,0.0034502800,1001.7000000000,993.1620000000,996.5560000000,988.0050000000,,,,,,,,,,
