R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
0,0,939.693,0,0.00E+00,9.43E-05,-3.38654,-8.52E-07,-3.18E-05,1.70E-05,-4.36E-05,9.36E-01,-9.85162,3.68862,-11.6702
3.82399,1.40063,938.29237,4.07243,3.33E-03,-1.45E-04,-3.38701,-8.41E-07,-3.69E-05,-1.33E-05,-6.57E-05,-1.06221,-12.437,-2.98013,-16.8722
7.64224,2.81683,936.87617,8.14486,6.67E-03,-6.09E-04,-3.38801,-8.38E-06,-4.91E-05,-6.30E-05,-1.06E-04,-5.99538,-17.8118,-14.3957,-26.6339
11.4547,4.2486,935.4444,12.2173,1.00E-02,-1.37E-03,-3.38962,-2.41E-05,-6.17E-05,-1.02E-04,-1.44E-04,-12.0111,-23.041,-23.9436,-35.6498
15.2613,5.69586,933.99714,16.2897,1.33E-02,-2.41E-03,-3.39179,-4.02E-05,-7.30E-05,-1.40E-04,-1.80E-04,-18.0666,-27.9301,-33.4147,-44.4261
19.062,7.15857,932.53443,20.3622,1.67E-02,-3.71E-03,-3.39445,-5.58E-05,-8.47E-05,-1.77E-04,-2.15E-04,-23.9283,-32.8215,-42.5747,-52.9099
22.8566,8.63684,931.05616,24.4346,2.00E-02,-5.25E-03,-3.39752,-7.11E-05,-9.68E-05,-2.12E-04,-2.49E-04,-29.6311,-37.6789,-51.3768,-61.0812
26.6453,10.1305,929.5625,28.507,2.33E-02,-7.00E-03,-3.40097,-8.62E-05,-1.09E-04,-2.46E-04,-2.81E-04,-35.194,-42.4789,-59.8309,-68.9473
30.4278,11.6395,928.0535,32.5795,2.67E-02,-8.97E-03,-3.40474,-1.01E-04,-1.21E-04,-2.79E-04,-3.12E-04,-40.6286,-47.2106,-67.9554,-76.5206
34.2041,13.164,926.529,36.6519,3.00E-02,-1.11E-02,-3.40879,-1.16E-04,-1.34E-04,-3.10E-04,-3.41E-04,-45.9435,-51.8694,-75.7675,-83.8132
37.9742,14.7038,924.9892,40.7243,3.33E-02,-1.35E-02,-3.41308,-1.31E-04,-1.46E-04,-3.40E-04,-3.69E-04,-51.1406,-56.4583,-83.2803,-90.8371
41.738,16.259,923.434,44.7967,3.67E-02,-1.59E-02,-3.41757,-1.45E-04,-1.58E-04,-3.68E-04,-3.97E-04,-56.2278,-60.9754,-90.5074,-97.6016
45.4954,17.8295,921.8635,48.8692,4.00E-02,-1.86E-02,-3.42223,-1.60E-04,-1.71E-04,-3.95E-04,-4.22E-04,-61.2066,-65.4243,-97.4593,-104.117
49.2464,19.4152,920.2778,52.9416,4.33E-02,-2.14E-02,-3.42703,-1.74E-04,-1.83E-04,-4.22E-04,-4.47E-04,-66.0811,-69.8065,-104.146,-110.391
52.991,21.0163,918.6767,57.0141,4.67E-02,-2.43E-02,-3.43193,-1.88E-04,-1.96E-04,-4.47E-04,-4.71E-04,-70.8598,-74.1186,-110.58,-116.433
56.7289,22.6326,917.0604,61.0865,5.00E-02,-2.73E-02,-3.43692,-2.03E-04,-2.08E-04,-4.71E-04,-4.94E-04,-75.5391,-78.3694,-116.766,-122.25
60.4603,24.264,915.429,65.1589,5.33E-02,-3.05E-02,-3.44197,-2.17E-04,-2.21E-04,-4.93E-04,-5.15E-04,-80.1219,-82.5606,-122.715,-127.851
64.185,25.9107,913.7823,69.2314,5.67E-02,-3.37E-02,-3.44704,-2.30E-04,-2.34E-04,-5.15E-04,-5.36E-04,-84.616,-86.6894,-128.435,-133.243
67.9029,27.5725,912.1205,73.3038,6.00E-02,-3.71E-02,-3.45213,-2.44E-04,-2.46E-04,-5.36E-04,-5.56E-04,-89.023,-90.7584,-133.936,-138.434
71.614,29.2495,910.4435,77.3762,6.33E-02,-4.05E-02,-3.45721,-2.58E-04,-2.59E-04,-5.56E-04,-5.75E-04,-93.3524,-94.7629,-139.228,-143.429
75.3183,30.9415,908.7515,81.4487,6.67E-02,-4.40E-02,-3.46227,-2.72E-04,-2.71E-04,-5.75E-04,-5.93E-04,-97.605,-98.7064,-144.317,-148.234
79.0157,32.6486,907.0444,85.5211,7.00E-02,-4.76E-02,-3.46729,-2.85E-04,-2.84E-04,-5.93E-04,-6.10E-04,-101.776,-102.598,-149.207,-152.858
82.706,34.3708,905.3222,89.5935,7.33E-02,-5.12E-02,-3.47225,-2.99E-04,-2.96E-04,-6.11E-04,-6.27E-04,-105.874,-106.432,-153.906,-157.304
