R,Zinv,Sinv,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
0.0000000000,0.0000000000,0.0000000000,653.3840000000,0.0000000000,-0.0000000004,1.2482500000,0.0010501000,0.0010498800,0.0010499600,0.0010500200,300.0210000000,299.9750000000,299.9990000000,299.9960000000
1.2723400000,0.0013400000,1.2723400000,652.1116600000,0.0019500000,0.0013400000,1.2482500000,0.0010500100,0.0010499700,0.0010499900,0.0010500000,300.0010000000,299.9940000000,299.9980000000,299.9980000000
2.5446800000,0.0054000000,2.5446900000,650.8393100000,0.0038900000,0.0026700000,1.2482400000,0.0010499000,0.0010500800,0.0010499900,0.0010499900,299.9780000000,300.0180000000,299.9920000000,300.0040000000
3.8170100000,0.0121000000,3.8170300000,649.5669700000,0.0058400000,0.0040100000,1.2482400000,0.0010499600,0.0010500200,0.0010499700,0.0010500100,299.9890000000,300.0060000000,299.9910000000,300.0050000000
5.0893200000,0.0216000000,5.0893800000,648.2946200000,0.0077900000,0.0053400000,1.2482300000,0.0010500200,0.0010499600,0.0010499700,0.0010500100,300.0030000000,299.9930000000,299.9950000000,300.0000000000
6.3616100000,0.0337000000,6.3617200000,647.0222800000,0.0097400000,0.0066800000,1.2482100000,0.0010500200,0.0010499600,0.0010499800,0.0010500000,300.0040000000,299.9920000000,299.9970000000,299.9980000000
7.6338600000,0.0486000000,7.6340700000,645.7499300000,0.0117000000,0.0080200000,1.2482000000,0.0010500300,0.0010499500,0.0010499900,0.0010499900,300.0060000000,299.9890000000,300.0000000000,299.9950000000
8.9060900000,0.0661000000,8.9064100000,644.4775900000,0.0136000000,0.0093500000,1.2481800000,0.0010499900,0.0010499900,0.0010499900,0.0010499900,299.9980000000,299.9970000000,299.9970000000,299.9980000000
10.1783000000,0.0863000000,10.1788000000,643.2052000000,0.0156000000,0.0107000000,1.2481600000,0.0010499200,0.0010500700,0.0010499900,0.0010499900,299.9810000000,300.0150000000,299.9920000000,300.0030000000
11.4504000000,0.1090000000,11.4511000000,641.9329000000,0.0175000000,0.0120000000,1.2481300000,0.0010499300,0.0010500600,0.0010499800,0.0010500000,299.9820000000,300.0130000000,299.9910000000,300.0040000000
12.7225000000,0.1350000000,12.7234000000,640.6606000000,0.0195000000,0.0134000000,1.2481100000,0.0010499700,0.0010500200,0.0010499700,0.0010500100,299.9910000000,300.0040000000,299.9920000000,300.0020000000
13.9945000000,0.1630000000,13.9958000000,639.3882000000,0.0214000000,0.0147000000,1.2480800000,0.0010499500,0.0010500300,0.0010499700,0.0010500100,299.9880000000,300.0070000000,299.9910000000,300.0030000000
15.2665000000,0.1940000000,15.2681000000,638.1159000000,0.0234000000,0.0160000000,1.2480400000,0.0010500400,0.0010499500,0.0010499700,0.0010500100,300.0060000000,299.9890000000,299.9960000000,299.9980000000
16.5384000000,0.2280000000,16.5405000000,636.8435000000,0.0253000000,0.0174000000,1.2480100000,0.0010500400,0.0010499500,0.0010499800,0.0010500000,300.0070000000,299.9880000000,299.9970000000,299.9960000000
17.8102000000,0.2640000000,17.8128000000,635.5712000000,0.0273000000,0.0187000000,1.2479700000,0.0010500100,0.0010499800,0.0010499800,0.0010500000,300.0000000000,299.9950000000,299.9960000000,299.9980000000
19.0820000000,0.3030000000,19.0852000000,634.2988000000,0.0292000000,0.0200000000,1.2479300000,0.0010500300,0.0010499500,0.0010499800,0.0010499900,300.0060000000,299.9890000000,299.9980000000,299.9950000000
20.3536000000,0.3450000000,20.3575000000,633.0265000000,0.0312000000,0.0214000000,1.2478800000,0.0010499700,0.0010500100,0.0010499800,0.0010499900,299.9930000000,300.0020000000,299.9950000000,299.9990000000
21.6252000000,0.3900000000,21.6299000000,631.7541000000,0.0331000000,0.0227000000,1.2478400000,0.0010499800,0.0010500000,0.0010499800,0.0010499900,299.9940000000,300.0000000000,299.9950000000,299.9980000000
22.8966000000,0.4370000000,22.9022000000,630.4818000000,0.0351000000,0.0240000000,1.2477900000,0.0010500300,0.0010499500,0.0010499800,0.0010499900,300.0050000000,299.9890000000,299.9980000000,299.9950000000
24.1680000000,0.4870000000,24.1745000000,629.2095000000,0.0370000000,0.0254000000,1.2477300000,0.0010500000,0.0010499800,0.0010499800,0.0010499900,299.9980000000,299.9960000000,299.9960000000,299.9970000000
25.4393000000,0.5400000000,25.4469000000,627.9371000000,0.0389000000,0.0267000000,1.2476800000,0.0010500100,0.0010499700,0.0010499800,0.0010499900,300.0010000000,299.9940000000,299.9970000000,299.9960000000
26.7104000000,0.5950000000,26.7192000000,626.6648000000,0.0409000000,0.0280000000,1.2476200000,0.0010500600,0.0010499300,0.0010499900,0.0010499900,300.0120000000,299.9830000000,300.0010000000,299.9920000000
27.9814000000,0.6530000000,27.9916000000,625.3924000000,0.0428000000,0.0294000000,1.2475600000,0.0010500200,0.0010499600,0.0010499900,0.0010499800,300.0040000000,299.9900000000,299.9990000000,299.9940000000
