S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top,,,
0.0000000000,2.5209600000,0.0000000000,0.0025648500,0.0024316300,0.0012612100,0.0012597800,512.9700000000,486.3260000000,252.2420000000,251.9550000000,,,
0.0010020100,2.5287700000,0.0096845400,0.0025617400,0.0024308700,0.0012632200,0.0012615800,512.3480000000,486.1740000000,252.6430000000,252.3160000000,,,
0.0020039900,2.5365100000,0.0207092000,0.0025586300,0.0024301100,0.0012652200,0.0012633800,511.7260000000,486.0220000000,253.0440000000,252.6760000000,,,
0.0030060000,2.5441500000,0.0330498000,0.0025551400,0.0024297700,0.0012671200,0.0012650800,511.0280000000,485.9540000000,253.4230000000,253.0160000000,,,
0.0040080200,2.5516800000,0.0466751000,0.0025516400,0.0024294400,0.0012690100,0.0012667800,510.3270000000,485.8880000000,253.8020000000,253.3570000000,,,
0.0050100300,2.5590800000,0.0615521000,0.0025478100,0.0024294700,0.0012707600,0.0012683600,509.5620000000,485.8940000000,254.1520000000,253.6710000000,,,
0.0060120200,2.5663400000,0.0776418000,0.0025439900,0.0024294900,0.0012725100,0.0012699300,508.7980000000,485.8990000000,254.5030000000,253.9860000000,,,
0.0070140400,2.5734500000,0.0949055000,0.0025398500,0.0024298700,0.0012741000,0.0012713500,507.9710000000,485.9730000000,254.8200000000,254.2690000000,,,
0.0080160300,2.5804000000,0.1132970000,0.0025357300,0.0024302200,0.0012756800,0.0012727700,507.1470000000,486.0450000000,255.1370000000,254.5530000000,,,
0.0090180300,2.5871700000,0.1327710000,0.0025313800,0.0024308500,0.0012770800,0.0012740100,506.2770000000,486.1700000000,255.4160000000,254.8020000000,,,
0.0100200000,2.5937500000,0.1532770000,0.0025270300,0.0024314800,0.0012784700,0.0012752500,505.4050000000,486.2960000000,255.6940000000,255.0510000000,,,
0.0110220000,2.6001300000,0.1747640000,0.0025224200,0.0024323900,0.0012796600,0.0012763100,504.4850000000,486.4770000000,255.9310000000,255.2610000000,,,
0.0120240000,2.6063100000,0.1971770000,0.0025178100,0.0024333100,0.0012808400,0.0012773600,503.5610000000,486.6620000000,256.1680000000,255.4720000000,,,
0.0130261000,2.6122700000,0.2204590000,0.0025130400,0.0024344100,0.0012818100,0.0012782100,502.6090000000,486.8820000000,256.3610000000,255.6420000000,,,
0.0140281000,2.6180200000,0.2445500000,0.0025083200,0.0024354700,0.0012827700,0.0012790600,501.6650000000,487.0940000000,256.5540000000,255.8120000000,,,
0.0150301000,2.6235400000,0.2693920000,0.0025035200,0.0024366500,0.0012835000,0.0012797000,500.7030000000,487.3300000000,256.7000000000,255.9400000000,,,
0.0160321000,2.6288400000,0.2949250000,0.0024986500,0.0024378900,0.0012842400,0.0012803400,499.7290000000,487.5780000000,256.8470000000,256.0680000000,,,
0.0170341000,2.6339100000,0.3210870000,0.0024937400,0.0024392000,0.0012847400,0.0012807600,498.7480000000,487.8390000000,256.9470000000,256.1530000000,,,
0.0180361000,2.6387600000,0.3478130000,0.0024888200,0.0024405200,0.0012852300,0.0012811900,497.7640000000,488.1030000000,257.0470000000,256.2380000000,,,
0.0190380000,2.6433700000,0.3750440000,0.0024840200,0.0024417500,0.0012855000,0.0012814000,496.8040000000,488.3490000000,257.1000000000,256.2800000000,,,
0.0200400000,2.6477500000,0.4027140000,0.0024792900,0.0024429000,0.0012857700,0.0012816100,495.8590000000,488.5810000000,257.1540000000,256.3230000000,,,
0.0210421000,2.6519100000,0.4307700000,0.0024742700,0.0024443900,0.0012858100,0.0012816200,494.8540000000,488.8770000000,257.1620000000,256.3240000000,,,
0.0220441000,2.6558500000,0.4591410000,0.0024693400,0.0024457700,0.0012858500,0.0012816300,493.8680000000,489.1550000000,257.1710000000,256.3260000000,,,
0.0230460000,2.6595700000,0.4877650000,0.0024648600,0.0024467400,0.0012856800,0.0012814400,492.9720000000,489.3470000000,257.1360000000,256.2870000000,,,
0.0240481000,2.6630800000,0.5165900000,0.0024601400,0.0024479400,0.0012855100,0.0012812500,492.0280000000,489.5880000000,257.1010000000,256.2490000000,,,
